Utility,Year,Month,Zip Code,Vintage,Arrearage_Amount
Avista,2025,7,99212,30 Days,21086.64
Avista,2025,2,99171,60 Days,747.3
Avista,2025,8,99402,90 Days +,1788.11
Avista,2025,8,99403,60 Days,53023.45
Avista,2025,3,99141,Total Arrearages,15155.82
Avista,2025,4,99151,60 Days,863.49
Avista,2025,3,99341,90 Days +,4063.3
Avista,2025,5,99008,60 Days,1274.96
Avista,2025,4,99148,60 Days,4491.27
Avista,2025,8,99134,30 Days,1001.39
Avista,2025,7,99022,30 Days,1722.05
Avista,2025,8,99208,90 Days +,98583.01
Avista,2025,7,99109,30 Days,1520.96
Avista,2025,7,99371,30 Days,378.46
Avista,2025,8,99029,Total Arrearages,7166.14
Avista,2025,3,99137,30 Days,479.7
Avista,2025,1,99148,30 Days,2007.82
Avista,2025,9,99151,60 Days,389.79
Avista,2025,5,99335,Total Arrearages,0.0
Avista,2025,2,99208,Total Arrearages,159000.17
Avista,2025,6,98620,30 Days,73.58
Avista,2025,1,99030,60 Days,74.51
Avista,2025,1,99170,Total Arrearages,2398.88
Avista,2025,9,99022,90 Days +,7762.14
Avista,2025,6,98648,30 Days,52.2
Avista,2025,3,99170,30 Days,751.61
Avista,2025,1,99163,Total Arrearages,45582.92
Avista,2025,7,99218,90 Days +,24964.06
Avista,2025,1,99219,90 Days +,0.0
Avista,2025,4,99031,30 Days,661.12
Avista,2025,6,99111,30 Days,1623.77
Avista,2025,5,99223,90 Days +,75662.56
Avista,2025,7,99170,90 Days +,2445.61
Avista,2025,7,99344,90 Days +,21351.19
Avista,2025,7,99006,60 Days,15441.53
Avista,2025,4,99117,60 Days,1574.87
Avista,2025,4,99004,90 Days +,7645.23
Avista,2025,2,99025,60 Days,408.61
Avista,2025,2,99218,Total Arrearages,29555.97
Avista,2025,2,99402,Total Arrearages,2550.48
Avista,2025,1,99159,90 Days +,1762.63
Avista,2025,2,99201,60 Days,21749.16
Avista,2025,2,99341,Total Arrearages,4702.59
Avista,2025,6,99039,Total Arrearages,2730.26
Avista,2025,1,99141,Total Arrearages,11256.99
Avista,2025,5,99143,90 Days +,2156.45
Avista,2025,4,99114,30 Days,20060.43
Avista,2025,3,99181,90 Days +,6035.32
Avista,2025,2,98648,90 Days +,132.97
Avista,2025,9,99174,Total Arrearages,524.02
Avista,2025,4,99171,Total Arrearages,5574.61
Avista,2025,6,99216,90 Days +,52702.28
Avista,2025,5,99158,30 Days,273.1
Avista,2025,8,99151,90 Days +,1002.6
Avista,2025,4,99025,Total Arrearages,12245.81
Avista,2025,7,99216,30 Days,14503.19
Avista,2025,1,99341,90 Days +,1911.28
Avista,2025,2,99111,90 Days +,10751.75
Avista,2025,2,99031,90 Days +,7489.81
Avista,2025,3,99025,Total Arrearages,10259.0
Avista,2025,7,99371,90 Days +,203.05
Avista,2025,7,99110,Total Arrearages,9135.52
Avista,2025,2,99019,30 Days,1991.23
Avista,2025,5,99143,Total Arrearages,5824.9
Avista,2025,1,99216,Total Arrearages,58504.4
Avista,2025,8,99013,30 Days,2729.99
Avista,2025,2,99160,Total Arrearages,22.46
Avista,2025,3,98857,Total Arrearages,0.0
Avista,2025,6,99151,Total Arrearages,2686.94
Avista,2025,1,99114,90 Days +,17706.81
Avista,2025,2,99019,90 Days +,7570.83
Avista,2025,2,99138,60 Days,2465.04
Avista,2025,6,99344,60 Days,52279.13
Avista,2025,9,99344,60 Days,31360.12
Avista,2025,2,99344,Total Arrearages,18950.08
Avista,2025,7,99025,90 Days +,3418.67
Avista,2025,4,99163,Total Arrearages,155290.05
Avista,2025,5,99204,30 Days,13342.05
Avista,2025,5,99159,60 Days,1253.12
Avista,2025,2,99117,30 Days,866.77
Avista,2025,4,99167,60 Days,2256.32
Avista,2025,3,99122,90 Days +,6990.08
Avista,2025,2,99101,60 Days,2058.44
Avista,2025,1,99344,60 Days,4991.87
Avista,2025,1,99026,Total Arrearages,2139.2
Avista,2025,6,99101,60 Days,4296.3
Avista,2025,2,99173,Total Arrearages,12915.01
Avista,2025,8,99029,60 Days,3586.85
Avista,2025,8,99151,Total Arrearages,1439.02
Avista,2025,4,99158,30 Days,736.98
Avista,2025,6,99137,90 Days +,3094.67
Avista,2025,5,99034,Total Arrearages,12156.02
Avista,2025,6,99003,Total Arrearages,10076.8
Avista,2025,5,99223,Total Arrearages,210636.29
Avista,2025,1,99107,90 Days +,0.0
Avista,2025,1,99402,Total Arrearages,2385.55
Avista,2025,1,99027,Total Arrearages,20718.89
Avista,2025,2,99037,Total Arrearages,6373.96
Avista,2025,8,99019,60 Days,21118.4
Avista,2025,4,99159,60 Days,2455.53
Avista,2025,2,99101,90 Days +,2404.57
Avista,2025,5,99205,60 Days,226236.49
Avista,2025,8,99223,90 Days +,52804.12
Avista,2025,7,99018,30 Days,52.22
Avista,2025,2,98857,90 Days +,0.0
Avista,2025,5,99161,Total Arrearages,11428.9
Avista,2025,7,99341,60 Days,1453.64
Avista,2025,4,99107,Total Arrearages,0.0
Avista,2025,8,99131,60 Days,368.7
Avista,2025,4,98857,Total Arrearages,0.0
Avista,2025,2,99030,Total Arrearages,4632.41
Avista,2025,3,99036,Total Arrearages,0.0
Avista,2025,4,99114,Total Arrearages,79957.96
Avista,2025,1,99201,30 Days,12762.06
Avista,2025,8,99179,60 Days,997.03
