Utility,Zip Code,Month,Arrearage Count
PSE,98249,2025-03-01,282
PSE,98239,2024-03-01,701
PSE,98119,2021-04-01,378
Avista,99216,2022-01-01,1208
CNG,98550,2024-11-01,132
PSE,98102,2021-01-01,538
PSE,98332,2025-02-01,267
PSE,98045,2023-02-01,833
PSE,98116,2025-03-01,567
PSE,98077,2024-03-01,201
PSE,98030,2023-03-01,3485
PSE,98335,2022-03-01,414
PSE,98244,2021-03-01,225
CNG,98524,2022-05-01,5
PSE,98075,2024-06-01,746
PSE,98108,2023-09-01,1153
PSE,98102,2021-02-01,557
PSE,98118,2022-08-01,1544
PSE,98264,2025-01-01,1377
Avista,99216,2021-07-01,1111
PSE,98446,2021-09-01,962
PSE,98024,2023-09-01,261
Avista,99217,2021-06-01,827
PSE,98392,2022-12-01,335
PSE,98106,2021-01-01,439
PAC, 99361  ,2024-06-01,142
PSE,98010,2024-02-01,502
PSE,98019,2023-01-01,309
NWN,98661,2025-03-01,845
Avista,99113,2025-09-01,8
PSE,98072,2023-01-01,865
Avista,99110,2025-03-01,29
PSE,98258,2021-03-01,1480
PSE,98273,2023-11-01,2060
Avista,99129,2025-01-01,71
PSE,98253,2022-02-01,74
Avista,99163,2023-02-01,1222
PSE,98345,2022-03-01,38
Avista,99158,2024-09-01,14
PAC, 98937  ,2024-12-01,269
Avista,99134,2025-02-01,26
PSE,98530,2024-01-01,86
PSE,98047,2021-05-01,409
CNG,98337,2024-09-01,211
PSE,98424,2021-05-01,226
PSE,98407,2023-01-01,715
PSE,98338,2022-07-01,847
PSE,98134,2022-10-01,28
PAC,98953,2025-01-01,642
CNG,99362,2022-10-01,801
NWN,98672,2024-04-01,145
Avista,99206,2024-09-01,1273
PSE,98465,2022-10-01,118
Avista,99164,2023-10-01,1
PSE,98359,2023-07-01,793
PSE,98240,2024-11-01,259
PSE,98332,2024-09-01,284
PSE,98087,2022-11-01,783
PSE,98221,2022-11-01,726
CNG,98233,2023-05-01,453
Avista,99031,2023-12-01,23
Avista,99129,2025-03-01,91
CNG,99337,2024-02-01,141
PSE,98409,2023-10-01,705
PSE,98220,2022-01-01,36
Avista,99149,2024-05-01,14
Avista,99113,2025-03-01,15
Avista,99130,2025-02-01,38
Avista,99137,2025-06-01,45
PSE,98499,2021-03-01,491
Avista,99014,2025-04-01,9
PSE,98047,2023-03-01,546
Avista,99131,2023-05-01,6
PSE,98503,2025-01-01,3483
CNG,98932,2022-04-01,54
PSE,98251,2024-01-01,127
Avista,99030,2024-06-01,27
PSE,98283,2025-05-01,45
Avista,99173,2025-03-01,148
PSE,98257,2021-01-01,330
Avista,99157,2023-01-01,38
PAC, 98930  ,2024-06-01,908
Avista,99130,2024-07-01,36
NWN,98685,2023-01-01,275
PSE,98251,2022-01-01,45
PAC,99323,2025-04-01,268
PSE,98058,2021-02-01,2626
PAC, 98923  ,2024-07-01,104
PSE,98531,2023-07-01,548
PSE,98012,2021-07-01,1259
PSE,98284,2024-08-01,1613
PSE,98338,2023-08-01,934
CNG,98837,2022-02-01,68
NWN,98648,2025-06-01,0
Avista,99344,2023-05-01,498
Avista,99109,2024-09-01,197
Avista,99025,2024-08-01,76
PSE,98019,2024-09-01,378
CNG,98557,2024-09-01,16
PSE,98934,2024-09-01,103
Avista,99223,2022-10-01,1395
CNG,98932,2022-11-01,42
PSE,98110,2021-11-01,556
Avista,99013,2025-05-01,120
PSE,98021,2024-12-01,605
PSE,98208,2021-12-01,1123
PSE,98591,2024-05-01,11
PSE,98312,2023-05-01,2109
Avista,99216,2025-07-01,1175
NWN,98601,2023-09-01,0
PAC,98908,2022-09-01,3520
PSE,98057,2024-03-01,1940
PSE,98204,2025-05-01,667
PAC,98944,2022-05-01,1805
CNG,98370,2023-04-01,122
PSE,98338,2022-10-01,851
PSE,98255,2025-04-01,40
CNG,99338,2025-04-01,129
PSE,98373,2024-10-01,1914
Avista,99137,2021-12-01,37
NWN,98665,2024-03-01,765
Avista,99113,2024-02-01,9
CNG,98226,2024-11-01,576
Avista,99223,2024-08-01,977
PSE,98267,2022-11-01,31
Avista,99169,2023-06-01,85
PSE,98019,2022-02-01,320
PSE,98579,2025-03-01,876
CNG,99353,2025-03-01,48
PSE,98364,2025-06-01,161
PSE,98177,2024-07-01,477
PSE,98101,2024-08-01,32
PSE,98004,2024-01-01,2343
NWN,98635,2023-12-01,0
Avista,99009,2023-06-01,70
PSE,98058,2023-08-01,2771
PSE,98392,2024-04-01,345
Avista,99113,2021-02-01,15
Avista,99344,2024-05-01,540
PSE,98136,2024-02-01,408
CNG,98240,2022-02-01,13
CNG,98801,2022-04-01,85
Avista,99013,2021-05-01,119
PSE,98404,2021-11-01,1034
Avista,99224,2024-12-01,664
PSE,98443,2024-01-01,60
PSE,98074,2024-05-01,902
Avista,99114,2023-02-01,570
Avista,99134,2021-01-01,32
PSE,98105,2023-03-01,925
Avista,99012,2025-03-01,42
PSE,98402,2024-12-01,54
PSE,98057,2024-07-01,1666
PSE,98940,2024-09-01,69
Avista,99156,2022-12-01,1
PSE,98059,2021-12-01,1594
PSE,98296,2025-05-01,423
PSE,98264,2022-02-01,1353
PSE,98238,2021-01-01,2
Avista,99005,2023-02-01,175
PSE,98327,2021-05-01,396
Avista,99344,2022-08-01,373
PSE,98201,2022-10-01,973
PSE,98405,2021-01-01,1021
Avista,99217,2021-02-01,1137
Avista,99025,2021-03-01,112
Avista,99138,2024-04-01,141
PSE,98027,2023-11-01,1492
Avista,99020,2022-08-01,3
PSE,98332,2022-12-01,302
Avista,99169,2022-05-01,68
Avista,99181,2025-09-01,126
PSE,98178,2022-02-01,843
PSE,98040,2021-10-01,811
CNG,98240,2022-11-01,14
PSE,98321,2022-06-01,862
CNG,98230,2023-10-01,389
PSE,98225,2023-02-01,2835
PSE,98596,2022-10-01,22
