Utility,Year,Month,Zip Code,Collections Accounts Customer Count
Avista,2025,10,99025,1
Avista,2025,10,99026,3
Avista,2025,10,99027,13
Avista,2025,10,99029,1
Avista,2025,10,99030,5
Avista,2025,10,99032,1
Avista,2025,10,99033,4
Avista,2025,10,99037,7
Avista,2025,10,99040,1
Avista,2025,10,99101,2
Avista,2025,10,99103,1
Avista,2025,10,99109,9
Avista,2025,10,99110,2
Avista,2025,10,99111,5
Avista,2025,10,99114,31
Avista,2025,10,99117,1
Avista,2025,10,99122,7
Avista,2025,10,99125,2
Avista,2025,10,99126,3
Avista,2025,10,99129,4
Avista,2025,10,99130,3
Avista,2025,10,99131,1
Avista,2025,10,99137,2
Avista,2025,10,99138,2
Avista,2025,10,99141,12
Avista,2025,10,99143,1
Avista,2025,10,99148,7
Avista,2025,10,99149,1
Avista,2025,10,99157,1
Avista,2025,10,99158,2
Avista,2025,10,99159,2
Avista,2025,10,99161,1
Avista,2025,10,99163,142
Avista,2025,10,99167,2
Avista,2025,10,99169,6
Avista,2025,10,99171,2
Avista,2025,10,99173,1
Avista,2025,10,99179,1
Avista,2025,10,99181,8
Avista,2025,10,99185,1
Avista,2025,10,99201,85
Avista,2025,10,99202,66
Avista,2025,10,99203,22
Avista,2025,10,99204,29
Avista,2025,10,99205,118
Avista,2025,10,99206,58
Avista,2025,10,99207,151
Avista,2025,10,99208,146
Avista,2025,10,99212,61
Avista,2025,10,99216,59
Avista,2025,10,99217,55
Avista,2025,10,99218,24
Avista,2025,10,99223,44
Avista,2025,10,99224,43
Avista,2025,10,99341,2
Avista,2025,10,99344,24
Avista,2025,10,99371,2
Avista,2025,10,99402,3
Avista,2025,10,99403,45
Avista,2025,11,98620,1
Avista,2025,11,99001,7
Avista,2025,11,99004,4
Avista,2025,11,99005,3
Avista,2025,11,99006,9
Avista,2025,11,99013,2
Avista,2025,11,99016,20
Avista,2025,11,99019,5
Avista,2025,11,99021,2
Avista,2025,11,99022,10
Avista,2025,11,99025,1
Avista,2025,11,99026,2
Avista,2025,11,99027,5
Avista,2025,11,99029,1
Avista,2025,11,99030,1
Avista,2025,11,99031,1
Avista,2025,11,99037,2
Avista,2025,11,99101,2
Avista,2025,11,99109,3
Avista,2025,11,99114,13
Avista,2025,11,99117,1
Avista,2025,11,99122,5
Avista,2025,11,99125,1
Avista,2025,11,99126,1
Avista,2025,11,99137,1
Avista,2025,11,99138,3
Avista,2025,11,99141,4
Avista,2025,11,99148,3
Avista,2025,11,99159,1
Avista,2025,11,99161,1
Avista,2025,11,99163,68
Avista,2025,11,99169,4
Avista,2025,11,99173,2
Avista,2025,11,99185,1
Avista,2025,11,99201,54
Avista,2025,11,99202,50
Avista,2025,11,99203,9
Avista,2025,11,99204,19
Avista,2025,11,99205,59
Avista,2025,11,99206,23
Avista,2025,11,99207,80
Avista,2025,11,99208,73
Avista,2025,11,99212,29
Avista,2025,11,99216,26
Avista,2025,11,99217,27
Avista,2025,11,99218,21
Avista,2025,11,99223,30
Avista,2025,11,99224,22
Avista,2025,11,99344,13
Avista,2025,11,99402,5
Avista,2025,11,99403,47
Avista,2025,12,99001,23
Avista,2025,12,99003,6
Avista,2025,12,99004,8
Avista,2025,12,99005,5
Avista,2025,12,99006,12
Avista,2025,12,99009,1
Avista,2025,12,99012,1
Avista,2025,12,99013,4
Avista,2025,12,99016,33
Avista,2025,12,99019,20
Avista,2025,12,99021,9
Avista,2025,12,99022,10
Avista,2025,12,99025,2
Avista,2025,12,99026,1
Avista,2025,12,99027,6
Avista,2025,12,99029,1
Avista,2025,12,99030,1
Avista,2025,12,99031,1
Avista,2025,12,99033,3
Avista,2025,12,99034,1
Avista,2025,12,99037,2
Avista,2025,12,99101,2
Avista,2025,12,99109,5
