Utility,Year,Month,Zip Code,Disconnection Notice Count
Avista,2025,8,99224,222
Avista,2025,8,99326,1
Avista,2025,8,99341,14
Avista,2025,8,99344,166
Avista,2025,8,99371,3
Avista,2025,8,99402,25
Avista,2025,8,99403,340
Avista,2025,9,98620,4
Avista,2025,9,98648,3
Avista,2025,9,99001,38
Avista,2025,9,99003,39
Avista,2025,9,99004,10
Avista,2025,9,99005,54
Avista,2025,9,99006,88
Avista,2025,9,99008,9
Avista,2025,9,99009,11
Avista,2025,9,99012,14
Avista,2025,9,99013,62
Avista,2025,9,99014,1
Avista,2025,9,99016,220
Avista,2025,9,99018,2
Avista,2025,9,99019,123
Avista,2025,9,99020,3
Avista,2025,9,99021,65
Avista,2025,9,99022,61
Avista,2025,9,99025,43
Avista,2025,9,99026,31
Avista,2025,9,99027,65
Avista,2025,9,99029,16
Avista,2025,9,99030,8
Avista,2025,9,99031,4
Avista,2025,9,99032,15
Avista,2025,9,99033,6
Avista,2025,9,99034,3
Avista,2025,9,99037,22
Avista,2025,9,99039,1
Avista,2025,9,99040,19
Avista,2025,9,99101,26
Avista,2025,9,99102,5
Avista,2025,9,99103,9
Avista,2025,9,99109,34
Avista,2025,9,99110,8
Avista,2025,9,99111,32
Avista,2025,9,99113,1
Avista,2025,9,99114,141
Avista,2025,9,99117,2
Avista,2025,9,99122,27
Avista,2025,9,99125,4
Avista,2025,9,99126,16
Avista,2025,9,99129,16
Avista,2025,9,99130,10
Avista,2025,9,99134,7
Avista,2025,9,99137,5
Avista,2025,9,99138,26
Avista,2025,9,99141,64
Avista,2025,9,99143,12
Avista,2025,9,99148,28
Avista,2025,9,99149,3
Avista,2025,9,99151,4
Avista,2025,9,99157,9
Avista,2025,9,99158,6
Avista,2025,9,99159,17
Avista,2025,9,99160,1
Avista,2025,9,99161,11
Avista,2025,9,99163,203
Avista,2025,9,99167,9
Avista,2025,9,99169,36
Avista,2025,9,99170,6
Avista,2025,9,99171,15
Avista,2025,9,99173,34
Avista,2025,9,99174,2
Avista,2025,9,99176,2
Avista,2025,9,99179,5
Avista,2025,9,99181,22
Avista,2025,9,99185,16
Avista,2025,9,99201,255
Avista,2025,9,99202,270
Avista,2025,9,99203,183
Avista,2025,9,99204,94
Avista,2025,9,99205,719
Avista,2025,9,99206,305
Avista,2025,9,99207,683
Avista,2025,9,99208,731
Avista,2025,9,99212,315
Avista,2025,9,99216,241
Avista,2025,9,99217,276
Avista,2025,9,99218,201
Avista,2025,9,99223,321
Avista,2025,9,99224,175
Avista,2025,9,99341,16
Avista,2025,9,99344,168
Avista,2025,9,99371,3
Avista,2025,9,99402,23
Avista,2025,9,99403,320
Avista,2025,10,98620,11
Avista,2025,10,98648,2
Avista,2025,10,98857,1
Avista,2025,10,99001,59
Avista,2025,10,99003,23
Avista,2025,10,99004,31
Avista,2025,10,99005,83
Avista,2025,10,99006,74
Avista,2025,10,99008,5
Avista,2025,10,99009,21
Avista,2025,10,99012,9
Avista,2025,10,99013,50
Avista,2025,10,99016,205
Avista,2025,10,99019,154
Avista,2025,10,99020,2
Avista,2025,10,99021,76
Avista,2025,10,99022,75
Avista,2025,10,99025,51
Avista,2025,10,99026,19
Avista,2025,10,99027,68
Avista,2025,10,99029,10
Avista,2025,10,99030,12
Avista,2025,10,99031,9
Avista,2025,10,99032,15
Avista,2025,10,99033,14
Avista,2025,10,99034,3
Avista,2025,10,99036,1
Avista,2025,10,99037,15
Avista,2025,10,99039,1
Avista,2025,10,99040,48
Avista,2025,10,99101,25
Avista,2025,10,99102,4
Avista,2025,10,99103,6
Avista,2025,10,99109,42
Avista,2025,10,99110,6
Avista,2025,10,99111,44
Avista,2025,10,99113,2
Avista,2025,10,99114,147
Avista,2025,10,99117,1
Avista,2025,10,99122,30
Avista,2025,10,99125,4
Avista,2025,10,99126,16
Avista,2025,10,99128,1
Avista,2025,10,99129,14
Avista,2025,10,99130,8
Avista,2025,10,99131,2
Avista,2025,10,99134,6
Avista,2025,10,99137,4
Avista,2025,10,99138,24
Avista,2025,10,99141,56
Avista,2025,10,99143,6
Avista,2025,10,99146,2
Avista,2025,10,99148,44
Avista,2025,10,99151,3
Avista,2025,10,99157,15
Avista,2025,10,99158,6
Avista,2025,10,99159,5
Avista,2025,10,99160,2
Avista,2025,10,99161,12
Avista,2025,10,99163,276
Avista,2025,10,99164,1
Avista,2025,10,99167,5
Avista,2025,10,99169,24
Avista,2025,10,99170,11
Avista,2025,10,99171,8
Avista,2025,10,99173,37
Avista,2025,10,99174,1
Avista,2025,10,99179,7
Avista,2025,10,99181,36
Avista,2025,10,99185,16
Avista,2025,10,99201,251
Avista,2025,10,99202,379
Avista,2025,10,99203,199
Avista,2025,10,99204,120
Avista,2025,10,99205,725
Avista,2025,10,99206,275
Avista,2025,10,99207,611
Avista,2025,10,99208,840
Avista,2025,10,99212,320
Avista,2025,10,99216,232
Avista,2025,10,99217,292
Avista,2025,10,99218,224
Avista,2025,10,99223,373
Avista,2025,10,99224,248
Avista,2025,10,99341,15
Avista,2025,10,99344,162
Avista,2025,10,99371,4
Avista,2025,10,99402,15
Avista,2025,10,99403,224
Avista,2025,11,98620,2
Avista,2025,11,98648,1
Avista,2025,11,98857,1
Avista,2025,11,99001,45
Avista,2025,11,99003,21
Avista,2025,11,99004,2
Avista,2025,11,99005,44
Avista,2025,11,99006,70
Avista,2025,11,99008,10
Avista,2025,11,99009,11
Avista,2025,11,99012,10
Avista,2025,11,99013,19
Avista,2025,11,99016,176
Avista,2025,11,99018,3
Avista,2025,11,99019,74
Avista,2025,11,99021,56
Avista,2025,11,99022,28
Avista,2025,11,99025,26
Avista,2025,11,99026,16
Avista,2025,11,99027,64
Avista,2025,11,99029,17
Avista,2025,11,99030,4
Avista,2025,11,99031,9
Avista,2025,11,99032,6
Avista,2025,11,99033,3
Avista,2025,11,99034,4
Avista,2025,11,99037,24
Avista,2025,11,99040,12
Avista,2025,11,99101,13
Avista,2025,11,99102,10
Avista,2025,11,99103,4
Avista,2025,11,99109,28
Avista,2025,11,99110,6
Avista,2025,11,99111,14
Avista,2025,11,99113,3
Avista,2025,11,99114,97
Avista,2025,11,99117,2
Avista,2025,11,99122,22
Avista,2025,11,99125,5
Avista,2025,11,99126,11
Avista,2025,11,99128,3
Avista,2025,11,99129,12
Avista,2025,11,99130,9
Avista,2025,11,99131,1
Avista,2025,11,99134,8
Avista,2025,11,99137,6
Avista,2025,11,99138,31
Avista,2025,11,99141,42
Avista,2025,11,99143,4
Avista,2025,11,99148,23
Avista,2025,11,99149,2
Avista,2025,11,99151,2
Avista,2025,11,99157,11
Avista,2025,11,99158,5
Avista,2025,11,99159,8
Avista,2025,11,99161,10
Avista,2025,11,99163,222
Avista,2025,11,99164,1
Avista,2025,11,99167,12
Avista,2025,11,99169,15
Avista,2025,11,99170,8
Avista,2025,11,99171,7
Avista,2025,11,99173,32
Avista,2025,11,99179,2
Avista,2025,11,99181,23
Avista,2025,11,99185,13
Avista,2025,11,99201,215
Avista,2025,11,99202,174
Avista,2025,11,99203,138
Avista,2025,11,99204,74
Avista,2025,11,99205,501
Avista,2025,11,99206,246
Avista,2025,11,99207,466
Avista,2025,11,99208,544
Avista,2025,11,99212,244
Avista,2025,11,99216,207
Avista,2025,11,99217,154
Avista,2025,11,99218,140
Avista,2025,11,99223,289
Avista,2025,11,99224,151
Avista,2025,11,99326,3
Avista,2025,11,99341,7
Avista,2025,11,99344,79
Avista,2025,11,99371,4
Avista,2025,11,99402,1
Avista,2025,11,99403,172
Avista,2025,12,98620,9
Avista,2025,12,98648,2
Avista,2025,12,99001,73
Avista,2025,12,99003,32
