Utility,Year,Month,Zip Code,Late Fee Amount
NWN,2024,7,98664,0.0
Avista,2021,2,99023,0.0
CNG,2025,9,98337,0.0
Avista,2025,9,99371,0.0
PSE,2021,10,98380,0.0
Avista,2023,1,99025,0.0
NWN,2025,5,98675,0.0
CNG,2025,3,98284,0.0
Avista,2024,3,99137,0.0
PAC,2024,5,99350,0.0
PSE,2025,9,98367,0.0
CNG,2023,8,98557,0.0
PSE,2020,10,98027,0.0
PSE,2024,12,98225,0.0
PSE,2023,4,98022,0.0
CNG,2021,3,98953,0.0
Avista,2024,8,99016,0.0
CNG,2025,6,98930,0.0
CNG,2023,3,98257,0.0
PSE,2020,10,98224,0.0
PAC,2024,12,98930,0.0
Avista,2024,12,99335,0.0
PSE,2025,11,98926,0.0
Avista,2021,8,99122,0.0
PSE,2022,11,98260,0.0
Avista,2025,3,99138,0.0
NWN,2023,11,98671,0.0
CNG,2024,1,98367,0.0
NWN,2020,11,98685,0.0
Avista,2025,10,99144,0.0
NWN,2021,2,98605,0.0
Avista,2020,4,99037,0.0
Avista,2021,7,99027,0.0
Avista,2024,9,99206,0.0
PSE,2020,5,98310,0.0
PSE,2024,12,98338,0.0
PAC,2022,12,98937,0.0
Avista,2022,7,99117,0.0
CNG,2025,9,98674,0.0
PSE,2025,8,98266,0.0
Avista,2022,4,99023,0.0
Avista,2021,5,99138,0.0
PSE,2022,2,98445,0.0
Avista,2023,10,99156,0.0
PSE,2024,4,98033,0.0
PSE,2023,7,98262,0.0
PSE,2021,5,98036,0.0
PSE,2020,8,98199,0.0
Avista,2020,12,99019,0.0
PSE,2024,12,98038,0.0
PAC,2022,8,98952,0.0
PSE,2024,3,98359,0.0
PSE,2022,3,98922,0.0
CNG,2022,2,98611,0.0
PAC,2022,3,98942,0.0
Avista,2024,2,99160,0.0
Avista,2022,12,99157,0.0
CNG,2020,10,98244,0.0
PSE,2022,12,98148,0.0
NWN,2025,6,98682,0.0
PSE,2025,3,98273,0.0
NWN,2024,7,98307,0.0
PSE,2022,7,98008,0.0
PSE,2023,6,98232,0.0
NWN,2025,5,98648,0.0
Avista,2022,8,99129,0.0
PAC,2023,3,99363,0.0
PSE,2022,1,98332,0.0
PSE,2023,2,98576,0.0
PAC,2023,4,98951,0.0
Avista,2024,6,99335,0.0
PSE,2025,11,98405,0.0
PAC,2022,2,98933,0.0
PAC,2022,7,98947,0.0
Avista,2025,3,99012,0.0
PSE,2023,7,98026,0.0
PSE,2025,10,98177,0.0
CNG,2020,3,98366,985.76
PSE,2024,11,98055,0.0
NWN,2025,3,98601,0.0
Avista,2023,4,99148,0.0
Avista,2025,1,99170,0.0
NWN,2025,2,98660,0.0
PAC,2025,3,98948,35.67
CNG,2023,5,98951,0.0
PSE,2020,6,98383,0.0
Avista,2024,9,99006,0.0
CNG,2023,4,99323,0.0
NWN,2021,10,98663,0.0
Avista,2021,5,98620,0.0
Avista,2021,1,99151,0.0
PSE,2020,5,98037,0.0
PSE,2024,4,98248,0.0
NWN,2023,5,97388,0.0
PSE,2022,2,98262,0.0
PSE,2020,10,98373,0.0
PSE,2023,2,98178,0.0
Avista,2021,8,99005,0.0
PSE,2023,10,98366,0.0
CNG,2022,6,98611,0.0
