Utility,Year,Month,Zip Code,Bad Debt Amount
Avista,2025,11,99126,531.67
Avista,2025,11,99137,16.06
Avista,2025,11,99138,426.41
Avista,2025,11,99141,830.53
Avista,2025,11,99148,625.16
Avista,2025,11,99159,1092.17
Avista,2025,11,99161,455.41
Avista,2025,11,99163,16108.02
Avista,2025,11,99169,2266.73
Avista,2025,11,99173,841.59
Avista,2025,11,99185,30.0
Avista,2025,11,99201,16014.43
Avista,2025,11,99202,18618.72
Avista,2025,11,99203,2431.9
Avista,2025,11,99204,8971.38
Avista,2025,11,99205,32645.13
Avista,2025,11,99206,6599.17
Avista,2025,11,99207,34138.98
Avista,2025,11,99208,24747.65
Avista,2025,11,99212,9306.35
Avista,2025,11,99216,9490.95
Avista,2025,11,99217,7893.29
Avista,2025,11,99218,10132.51
Avista,2025,11,99223,9761.51
Avista,2025,11,99224,7469.94
Avista,2025,11,99344,5023.1
Avista,2025,11,99402,2464.32
Avista,2025,11,99403,20716.87
Avista,2025,12,99001,6166.8
Avista,2025,12,99003,1936.17
Avista,2025,12,99004,5094.61
Avista,2025,12,99005,1489.55
Avista,2025,12,99006,4965.21
Avista,2025,12,99009,414.87
Avista,2025,12,99012,189.02
Avista,2025,12,99013,1286.82
Avista,2025,12,99016,11128.54
Avista,2025,12,99019,6700.05
Avista,2025,12,99021,1885.32
Avista,2025,12,99022,3318.8
Avista,2025,12,99025,563.15
Avista,2025,12,99026,108.03
Avista,2025,12,99027,2714.65
Avista,2025,12,99029,2703.53
Avista,2025,12,99030,837.01
Avista,2025,12,99031,599.43
Avista,2025,12,99033,4320.71
Avista,2025,12,99034,879.33
Avista,2025,12,99037,773.46
Avista,2025,12,99101,373.4
Avista,2025,12,99109,1549.13
Avista,2025,12,99110,349.36
Avista,2025,12,99111,357.12
Avista,2025,12,99114,4916.66
Avista,2025,12,99117,546.35
Avista,2025,12,99122,1667.44
Avista,2025,12,99126,288.81
Avista,2025,12,99129,3297.38
Avista,2025,12,99134,44.25
Avista,2025,12,99138,1551.21
Avista,2025,12,99141,483.78
Avista,2025,12,99148,738.04
Avista,2025,12,99157,115.59
Avista,2025,12,99159,819.29
Avista,2025,12,99161,0.0
Avista,2025,12,99163,18366.01
Avista,2025,12,99167,1100.69
Avista,2025,12,99169,2139.02
Avista,2025,12,99170,384.21
Avista,2025,12,99171,1826.31
Avista,2025,12,99173,5059.0
Avista,2025,12,99179,393.9
Avista,2025,12,99181,3555.72
Avista,2025,12,99201,17771.05
Avista,2025,12,99202,13668.12
Avista,2025,12,99203,7717.88
Avista,2025,12,99204,9420.89
Avista,2025,12,99205,42812.52
Avista,2025,12,99206,9334.98
Avista,2025,12,99207,70491.21
Avista,2025,12,99208,49898.39
Avista,2025,12,99212,21909.65
Avista,2025,12,99216,18349.5
Avista,2025,12,99217,26523.0
Avista,2025,12,99218,13883.37
Avista,2025,12,99223,18835.48
Avista,2025,12,99224,11128.86
Avista,2025,12,99341,1978.56
Avista,2025,12,99344,4442.46
Avista,2025,12,99371,734.57
Avista,2025,12,99402,1167.68
Avista,2025,12,99403,26318.87
