Utility,Year,Month,Zip Code,Vintage,Arrearage_Amount
PAC,2023,7,99347,90 Days +,68053.76
Avista,2021,4,99129,30 Days,3346.17
PSE,2023,3,98052,60 Days,154472.209999999
PSE,2021,9,98402,60 Days,491.0
CNG,2024,12,98257,90 Days +,5004.36
PSE,2021,8,98353,60 Days,53.0
PSE,2024,7,98109,60 Days,11120.21
PSE,2022,4,98258,60 Days,57837.42
PAC,2022,10,99348,60 Days,711.67
Avista,2025,8,99224,90 Days +,52822.35
PAC,2022,4,99323,60 Days,25447.78
PSE,2021,2,98501,60 Days,131363.96
PSE,2020,6,98946,Total Arrearages,11509.03
NWN,2020,6,98606,30 Days,2098.62
Avista,2025,12,99202,30 Days,53831.69
PSE,2020,11,98418,30 Days,7180.38
Avista,2024,12,99003,Total Arrearages,16272.55
Avista,2024,9,99101,90 Days +,4267.03
NWN,2025,3,98642,Total Arrearages,40774.84
CNG,2023,3,98337,90 Days +,13753.66
PSE,2020,6,98503,30 Days,135207.91
Avista,2024,7,99032,30 Days,2950.62
PSE,2020,11,98030,30 Days,118334.08
PSE,2022,2,98498,Total Arrearages,967450.87
Avista,2024,7,99021,60 Days,12256.62
CNG,2023,2,98944,90 Days +,11207.49
PSE,2025,1,98922,Total Arrearages,544820.7
NWN,2024,6,98762,Total Arrearages,0.0
PSE,2021,10,98239,30 Days,14542.69
NWN,2020,3,98682,Total Arrearages,181293.77
PSE,2022,2,98104,Total Arrearages,19278.25
PSE,2024,9,98277,Total Arrearages,1420819.00999999
NWN,2023,2,98665,90 Days +,31867.6
Avista,2020,11,99027,60 Days,9913.55
PSE,2023,4,98106,Total Arrearages,241552.309999999
PSE,2023,8,98310,90 Days +,609758.52
Avista,2025,7,99134,60 Days,206.43
PSE,2023,6,98360,60 Days,92088.5
PSE,2020,12,98499,30 Days,14355.96
Avista,2023,2,99012,90 Days +,1060.95
PSE,2025,6,98446,Total Arrearages,207418.83
Avista,2025,7,99012,60 Days,592.78
PSE,2023,7,98253,30 Days,9477.42
CNG,2020,11,98584,Total Arrearages,23094.73
NWN,2024,3,98762,90 Days +,0.0
PSE,2023,8,98166,90 Days +,248317.009999999
PSE,2021,8,98941,60 Days,3869.0
PSE,2024,3,98148,60 Days,54926.6
PSE,2022,7,98383,Total Arrearages,509958.38
CNG,2020,12,98366,90 Days +,56024.03
Avista,2024,10,99157,30 Days,2819.08
PSE,2024,8,98360,60 Days,55778.67
PAC,2022,5,98902,30 Days,356148.23
PSE,2021,2,98295,90 Days +,15889.76
PSE,2024,11,98235,30 Days,538.56
PSE,2022,12,98199,60 Days,5985.82
Avista,2022,10,99128,60 Days,3549.91
PSE,2021,9,98506,90 Days +,298052.0
PSE,2021,4,98253,90 Days +,4674.76
PSE,2024,4,98045,Total Arrearages,408977.85
Avista,2022,5,99036,Total Arrearages,592.56
PSE,2020,10,98204,90 Days +,29775.68
Avista,2025,6,99203,30 Days,47988.76
PSE,2021,11,98118,30 Days,26188.64
CNG,2020,8,99324,Total Arrearages,18045.24
PSE,2022,12,98252,Total Arrearages,79358.74
Avista,2024,1,98620,60 Days,2171.71
PAC,2025,6,98903,30 Days,226814.45
CNG,2020,4,98524,Total Arrearages,1148.93
NWN,2020,12,98663,60 Days,1707.47
PSE,2024,2,98144,30 Days,51627.99
PSE,2020,8,98294,60 Days,3252.53
PSE,2020,12,98272,60 Days,4402.07
NWN,2021,8,98606,60 Days,585.99
PSE,2024,10,98104,60 Days,672.91
Avista,2025,7,99101,30 Days,7053.35
Avista,2022,10,99101,Total Arrearages,29043.99
Avista,2020,7,99167,90 Days +,6921.86
PAC,2022,9,98903,Total Arrearages,926814.93
CNG,2020,3,98848,Total Arrearages,680.72
PSE,2024,5,98467,30 Days,19012.04
Avista,2023,9,99134,60 Days,859.34
PSE,2022,7,98244,Total Arrearages,170332.359999999
Avista,2023,1,99156,Total Arrearages,64.3
CNG,2025,9,98225,90 Days +,30161.61
PSE,2024,1,98262,30 Days,6004.55
Avista,2020,6,99185,Total Arrearages,19018.04
Avista,2024,2,99228,Total Arrearages,0.0
